SMILES,MW,HBA,HBD,LogP,Valid,Error
CC(C#C)(O)O,86.036779432,2,2,-0.6796,True,False
O=COC(=C)C,86.036779432,2,0,0.693,True,False
C=COC(=O)C,86.036779432,2,0,0.693,True,False
C=COC(O)=C,86.036779432,2,1,1.1757,True,False
C#COC(O)C,86.036779432,2,1,-0.068,True,False
O=CCC(=O)C,86.036779432,2,0,0.1644,True,False
OC=CC(=O)C,86.036779432,2,1,0.6471,True,False
O=CCC(O)=C,86.036779432,2,1,0.6471,True,False
OC=CC(O)=C,86.036779432,2,2,1.1298,True,False
O=CC=C(O)C,86.036779432,2,1,0.6471,True,False
OC=C=C(O)C,86.036779432,2,2,1.1188,True,False
O=C=CC(O)C,86.036779432,2,1,-0.2450000000000001,True,False
OC#CC(O)C,86.036779432,2,2,-0.2993999999999999,True,False
C=CCC(=O)O,86.036779432,1,1,0.6471,True,False
CC=CC(=O)O,86.036779432,1,1,0.6471,True,False
C=CC=C(O)O,86.036779432,2,2,1.1298,True,False
CC=C=C(O)O,86.036779432,2,2,1.1188,True,False
C=C=CC(O)O,86.036779432,2,2,-0.36180000000000007,True,False
C#CCC(O)O,86.036779432,2,2,-0.6796,True,False
CC#CC(O)O,86.036779432,2,2,-0.6796,True,False
CC(=O)C(=O)C,86.036779432,2,0,0.1644,True,False
C=C(O)C(=O)C,86.036779432,2,1,0.6471,True,False
C=C(O)C(O)=C,86.036779432,2,2,1.1298,True,False
CC(=C)C(=O)O,86.036779432,1,1,0.6471,True,False
CC1(O)OC=C1,86.036779432,2,1,0.23879999999999996,True,False
OC1(O)C=CC1,86.036779432,2,2,-0.3728,True,False
O=C1C(O1)(C)C,86.036779432,2,0,0.3218,True,False
C=C1C(O1)(O)C,86.036779432,2,1,0.23879999999999996,True,False
O=C1C(C1)(O)C,86.036779432,2,1,-0.28980000000000006,True,False
OC=1C(C1)(O)C,86.036779432,2,2,0.19289999999999996,True,False
C=C1C(C1)(O)O,86.036779432,2,2,-0.3728,True,False
CC=1C(C1)(O)O,86.036779432,2,2,-0.3728,True,False
CC1OC(=C)O1,86.036779432,2,0,0.8503999999999999,True,False
CC1OC(=O)C1,86.036779432,2,0,0.3218,True,False
CC1OC(O)=C1,86.036779432,2,1,0.8045,True,False
C=C1OC(O)C1,86.036779432,2,1,0.23879999999999996,True,False
CC=1OC(O)C1,86.036779432,2,1,0.23879999999999996,True,False
OC1CC(=O)C1,86.036779432,2,1,-0.28980000000000006,True,False
OC1C=C(O)C1,86.036779432,2,2,0.19290000000000002,True,False
CC12OC(C2)O1,86.036779432,2,0,0.47919999999999996,True,False
OC12OC(C2)C1,86.036779432,2,1,-0.13240000000000007,True,False
CC12C(O2)(C)O1,86.036779432,2,0,0.47919999999999996,True,False
CC12C(C2)(O)O1,86.036779432,2,1,-0.13240000000000002,True,False
OC12C(C2)(O)C1,86.036779432,2,2,-0.744,True,False
O=C(C=C)OC,86.036779432,2,0,0.34539999999999993,True,False
OC(=C=C)OC,86.036779432,2,1,0.8170999999999999,True,False
OC(C#C)OC,86.036779432,2,1,-0.41559999999999997,True,False
C=C(OC)C=O,86.036779432,2,0,0.34539999999999993,True,False
CC(OC)=C=O,86.036779432,2,0,0.36819999999999997,True,False
C=C(C=C)OO,86.036779432,2,1,1.1757,True,False
CC(=C=C)OO,86.036779432,2,1,1.1647,True,False
CC(C#C)OO,86.036779432,2,1,0.4977,True,False
O=C(CC)C=O,86.036779432,2,0,0.1644,True,False
O=C(C=C)CO,86.036779432,2,1,-0.26620000000000005,True,False
OC(CC)=C=O,86.036779432,2,1,0.6698999999999999,True,False
OC(C=C)=CO,86.036779432,2,2,1.1298,True,False
OC(=CC)C=O,86.036779432,2,1,0.6471,True,False
OC(=C=C)CO,86.036779432,2,2,0.20549999999999996,True,False
OC(C=C)C=O,86.036779432,2,1,-0.26780000000000004,True,False
OC(C#C)CO,86.036779432,2,2,-1.0272000000000001,True,False
C=C(CO)C=O,86.036779432,2,1,-0.26619999999999994,True,False
CC(CO)=C=O,86.036779432,2,1,-0.2434,True,False
CC(C=O)=CO,86.036779432,2,1,0.6471,True,False
CC(C=O)C=O,86.036779432,2,0,0.020299999999999985,True,False
OC1(OC)C=C1,86.036779432,2,1,-0.10880000000000001,True,False
CC1(C=C)OO1,86.036779432,2,0,0.8503999999999999,True,False
OC1(C=C)OC1,86.036779432,2,1,-0.10880000000000001,True,False
CC1(OO)C=C1,86.036779432,2,1,0.8045,True,False
OC1(C=O)CC1,86.036779432,2,1,-0.28980000000000006,True,False
OC1(CO)C=C1,86.036779432,2,2,-0.7203999999999999,True,False
CC1(C=O)OC1,86.036779432,2,0,-0.025800000000000045,True,False
O=C1CCC1O,86.036779432,2,1,-0.2898,True,False
OC1=CCC1O,86.036779432,2,2,0.19289999999999996,True,False
OC=1CCC1O,86.036779432,2,2,1.1078,True,False
OC1C=CC1O,86.036779432,2,2,-0.7220000000000002,True,False
C=C1OOC1C,86.036779432,2,0,0.8503999999999999,True,False
CC=1OOC1C,86.036779432,2,0,1.48944,True,False
O=C1COC1C,86.036779432,2,0,-0.025799999999999934,True,False
OC1=COC1C,86.036779432,2,1,0.8045,True,False
OC=1COC1C,86.036779432,2,1,0.8061,True,False
OC1COC1=C,86.036779432,2,1,-0.10880000000000001,True,False
C=C1COC1O,86.036779432,2,1,-0.10880000000000001,True,False
CC1=COC1O,86.036779432,2,1,0.23879999999999996,True,False
CC=1COC1O,86.036779432,2,1,0.8061,True,False
CC1COC1=O,86.036779432,2,0,0.17930000000000001,True,False
C=C1OCCO1,86.036779432,2,0,0.5044,True,False
CC1OC=CO1,86.036779432,2,0,0.8503999999999999,True,False
O=C1OCCC1,86.036779432,2,0,0.3234,True,False
OC=1OCCC1,86.036779432,2,1,0.8060999999999999,True,False
OC1OCC=C1,86.036779432,2,1,-0.10880000000000001,True,False
OC1OC=CC1,86.036779432,2,1,0.23880000000000007,True,False
CC1=COOC1,86.036779432,2,0,0.852,True,False
C=C1COOC1,86.036779432,2,0,0.5044,True,False
CC1=CCOO1,86.036779432,2,0,0.852,True,False
C=C1CCOO1,86.036779432,2,0,0.852,True,False
CC1C=COO1,86.036779432,2,0,0.8503999999999999,True,False
OC1=CCOC1,86.036779432,2,1,0.45849999999999996,True,False
O=C1CCOC1,86.036779432,2,0,-0.0242,True,False
OC=1CCOC1,86.036779432,2,1,0.8060999999999999,True,False
OC1C=COC1,86.036779432,2,1,-0.10880000000000001,True,False
C=C1OCOC1,86.036779432,2,0,0.5044,True,False
CC=1OCOC1,86.036779432,2,0,0.852,True,False
CC1=C(O)C1O,86.036779432,2,2,0.19290000000000002,True,False
CC1C(=O)C1O,86.036779432,2,1,-0.4339,True,False
CC1C(O)=C1O,86.036779432,2,2,0.9637,True,False
C=C1C(O)C1O,86.036779432,2,2,-0.7220000000000002,True,False
OC12CC2CO1,86.036779432,2,1,-0.2748999999999999,True,False
CC12OC2CO1,86.036779432,2,0,0.13159999999999994,True,False
OC12OC2CC1,86.036779432,2,1,-0.13240000000000007,True,False
CC12CC2OO1,86.036779432,2,0,0.47919999999999996,True,False
OC12CC2OC1,86.036779432,2,1,-0.48,True,False
CC12OC2OC1,86.036779432,2,0,0.13159999999999994,True,False
OC12C(C2C)O1,86.036779432,2,1,-0.27649999999999997,True,False
CC12C(C2O)O1,86.036779432,2,1,-0.4816,True,False
OC12C(C2O)C1,86.036779432,2,2,-0.8881000000000001,True,False
OCC=C=CO,86.036779432,2,2,0.20549999999999996,True,False
O=CC=CCO,86.036779432,2,1,-0.26620000000000005,True,False
OCC#CCO,86.036779432,2,2,-1.0256,True,False
O=CCC=CO,86.036779432,2,1,0.6471,True,False
OC=CC=CO,86.036779432,2,2,1.1298,True,False
OCCC=C=O,86.036779432,2,1,-0.24340000000000006,True,False
OCCC#CO,86.036779432,2,2,-0.2978000000000001,True,False
O=CCCC=O,86.036779432,2,0,0.1644,True,False
COC#COC,86.036779432,2,0,0.1976,True,False
OOC=C=CC,86.036779432,2,1,1.1646999999999998,True,False
OOC=CC=C,86.036779432,2,1,1.1757,True,False
OOC#CCC,86.036779432,2,1,0.8469,True,False
OOCC=C=C,86.036779432,2,1,0.8170999999999999,True,False
OOCC#CC,86.036779432,2,1,0.4993,True,False
OOCCC#C,86.036779432,2,1,0.4992999999999999,True,False
COC=C=CO,86.036779432,2,1,0.8170999999999999,True,False
COC=CC=O,86.036779432,2,0,0.3454,True,False
COC#CCO,86.036779432,2,1,-0.414,True,False
COCC=C=O,86.036779432,2,0,0.020600000000000063,True,False
COCC#CO,86.036779432,2,1,-0.03379999999999998,True,False
C=C=COOC,86.036779432,2,0,0.8629999999999999,True,False
C#CCOOC,86.036779432,2,0,0.1976,True,False
CC#COOC,86.036779432,2,0,0.5452,True,False
C=COOC=C,86.036779432,2,0,1.2215999999999998,True,False
C#COOCC,86.036779432,2,0,0.5452,True,False
O=C=COCC,86.036779432,2,0,0.36819999999999997,True,False
O=CCOC=C,86.036779432,2,0,0.34540000000000004,True,False
OC=COC=C,86.036779432,2,1,1.1757,True,False
OC#COCC,86.036779432,2,1,0.3137999999999999,True,False
OCCOC#C,86.036779432,2,1,-0.4139999999999999,True,False
C=C=COCO,86.036779432,2,1,0.2513999999999999,True,False
C=CCOC=O,86.036779432,2,0,0.3454,True,False
C#CCOCO,86.036779432,2,1,-0.414,True,False
CC=COC=O,86.036779432,2,0,0.6930000000000001,True,False
CC#COCO,86.036779432,2,1,-0.06639999999999996,True,False
COCOC#C,86.036779432,2,0,0.1976000000000001,True,False
COC=1OCC1,86.036779432,2,0,0.5044000000000001,True,False
COC1OC=C1,86.036779432,2,0,0.5028,True,False
CC=C1OCO1,86.036779432,2,0,0.8520000000000001,True,False
C=CC1OCO1,86.036779432,2,0,0.5027999999999999,True,False
OOC1=CCC1,86.036779432,2,1,1.1537,True,False
OOC1C=CC1,86.036779432,2,1,0.8045,True,False
OCC=1OCC1,86.036779432,2,1,-0.10719999999999996,True,False
OC=C1OCC1,86.036779432,2,1,0.8061,True,False
OCC1OC=C1,86.036779432,2,1,-0.10880000000000001,True,False
O=CC1OCC1,86.036779432,2,0,-0.025800000000000045,True,False
COC1=COC1,86.036779432,2,0,0.5044,True,False
CCC=1OOC1,86.036779432,2,0,1.435,True,False
CC=C1OOC1,86.036779432,2,0,0.852,True,False
C=CC1OOC1,86.036779432,2,0,0.5027999999999999,True,False
OCC1=COC1,86.036779432,2,1,-0.10719999999999996,True,False
OC=C1COC1,86.036779432,2,1,0.45849999999999996,True,False
O=CC1COC1,86.036779432,2,0,-0.1683,True,False
OCOC1=CC1,86.036779432,2,1,0.2404,True,False
O=COC1CC1,86.036779432,2,0,0.3218,True,False
OCOC1C=C1,86.036779432,2,1,-0.10880000000000001,True,False
CCC=C1OO1,86.036779432,2,0,1.1996,True,False
C=CCC1OO1,86.036779432,2,0,0.8503999999999999,True,False
CC=CC1OO1,86.036779432,2,0,0.8504,True,False
CCOC=1OC1,86.036779432,2,0,0.852,True,False
C=COC1OC1,86.036779432,2,0,0.5027999999999999,True,False
OCC=C1OC1,86.036779432,2,1,-0.10719999999999996,True,False
OCCC=1OC1,86.036779432,2,1,0.24039999999999995,True,False
O=CCC1OC1,86.036779432,2,0,-0.025800000000000045,True,False
OC=CC1OC1,86.036779432,2,1,0.4568999999999999,True,False
COOC1=CC1,86.036779432,2,0,0.852,True,False
COOC1C=C1,86.036779432,2,0,0.5028,True,False
OOCC1=CC1,86.036779432,2,1,0.8061,True,False
OOC=C1CC1,86.036779432,2,1,1.1537,True,False
OOCC1C=C1,86.036779432,2,1,0.6619999999999999,True,False
COC=C1OC1,86.036779432,2,0,0.5044,True,False
COCC=1OC1,86.036779432,2,0,0.5044000000000001,True,False
CC1=C(OC)O1,86.036779432,2,0,0.8520000000000001,True,False
C=C1C(OC)O1,86.036779432,2,0,0.5027999999999999,True,False
OC1=C(OC)C1,86.036779432,2,1,0.8061,True,False
OC1C(OC)=C1,86.036779432,2,1,-0.10880000000000001,True,False
O=C1C(OC)C1,86.036779432,2,0,-0.025800000000000045,True,False
OC=1C(OC)C1,86.036779432,2,1,0.4568999999999999,True,False
OC1=C(CC)O1,86.036779432,2,1,1.1537,True,False
OC1C(=CC)O1,86.036779432,2,1,0.23879999999999996,True,False
O=C1C(CC)O1,86.036779432,2,0,0.3218,True,False
OC1C(C=C)O1,86.036779432,2,1,-0.11040000000000005,True,False
CC1=C(OO)C1,86.036779432,2,1,1.1537,True,False
CC1C(OO)=C1,86.036779432,2,1,1.0096,True,False
C=C1C(OO)C1,86.036779432,2,1,0.8045,True,False
CC=1C(OO)C1,86.036779432,2,1,0.8045,True,False
CC1=C(CO)O1,86.036779432,2,1,0.2404,True,False
CC1C(=CO)O1,86.036779432,2,1,0.8045,True,False
C=C1C(CO)O1,86.036779432,2,1,-0.10880000000000006,True,False
CC1C(C=O)O1,86.036779432,2,0,-0.02740000000000009,True,False
OC1=C(CO)C1,86.036779432,2,2,0.1945,True,False
OC1C(CO)=C1,86.036779432,2,2,-0.7204000000000002,True,False
OC1C(=CO)C1,86.036779432,2,2,0.19290000000000002,True,False
O=C1C(CO)C1,86.036779432,2,1,-0.4322999999999999,True,False
OC=1C(CO)C1,86.036779432,2,2,0.0504,True,False
OC1C(C=O)C1,86.036779432,2,1,-0.43389999999999995,True,False
OC(O)=C1CC1,86.036779432,2,2,1.1078000000000001,True,False
OC(O)C1=CC1,86.036779432,2,2,-0.3728,True,False
OC(=O)C1CC1,86.036779432,1,1,0.48100000000000004,True,False
OC(O)C1C=C1,86.036779432,2,2,-0.5169000000000001,True,False
CC(C)=C1OO1,86.036779432,2,0,1.1996,True,False
CC(=C)C1OO1,86.036779432,2,0,0.8504,True,False
CC(O)=C1OC1,86.036779432,2,1,0.8061,True,False
CC(O)C=1OC1,86.036779432,2,1,0.23879999999999996,True,False
CC(=O)C1OC1,86.036779432,2,0,-0.025800000000000045,True,False
C=C(O)C1OC1,86.036779432,2,1,0.4568999999999999,True,False
C1C2(OCO2)C1,86.036779432,2,0,0.4808,True,False
O1C2(CCC2)O1,86.036779432,2,0,0.8284,True,False
C1C2(OCC2)O1,86.036779432,2,0,0.13319999999999999,True,False
C1C2(OOC2)C1,86.036779432,2,0,0.4808,True,False
C1C2(COC2)O1,86.036779432,2,0,-0.21440000000000003,True,False
COC12C(C2)O1,86.036779432,2,0,0.13160000000000005,True,False
CCC12C(O2)O1,86.036779432,2,0,0.47919999999999996,True,False
OOC12C(C2)C1,86.036779432,2,1,0.6384000000000001,True,False
OCC12C(C2)O1,86.036779432,2,1,-0.48,True,False
OC1C2(O1)CC2,86.036779432,2,1,-0.13240000000000007,True,False
CC1C2(C1)OO2,86.036779432,2,0,0.6843,True,False
CC1C2(O1)OC2,86.036779432,2,0,0.13159999999999994,True,False
OC1C2(C1)OC2,86.036779432,2,1,-0.48,True,False
OC1(O)C2CC12,86.036779432,2,2,-0.683,True,False
CC1(O)C2OC12,86.036779432,2,1,-0.48160000000000003,True,False
C1C2OC(O2)C1,86.036779432,2,0,0.47919999999999996,True,False
O1C2CC(C2)O1,86.036779432,2,0,0.47919999999999996,True,False
C1C2OC(C2)O1,86.036779432,2,0,0.13160000000000005,True,False
OC1C2OC1C2,86.036779432,2,1,-0.48160000000000003,True,False
CC1C2OC1O2,86.036779432,2,0,0.33509999999999995,True,False
O1C=COCC1,86.036779432,2,0,0.5044,True,False
C1=COOCC1,86.036779432,2,0,0.852,True,False
C=1COOCC1,86.036779432,2,0,0.5044,True,False
C1OCOC=C1,86.036779432,2,0,0.5044000000000001,True,False
C12C(OC2)CO1,86.036779432,2,0,-0.21600000000000008,True,False
C12C(CC2)OO1,86.036779432,2,0,0.47919999999999996,True,False
C12C(CO2)CO1,86.036779432,2,0,-0.01090000000000002,True,False
OC1C2COC12,86.036779432,2,1,-0.6241000000000001,True,False
CC1C2OOC12,86.036779432,2,0,0.33509999999999995,True,False
