Fragment,Count
[1*]C(=O)O,1034
[1*]C(N)=O,545
[3*]O[3*],418
[1*]C([1*])=O,406
[3*]OC(O)(O)O,316
[3*]ON=NN=O,283
[5*]N[5*],252
[3*]OC(N)(O)O,232
[5*]NC(O)(O)O,232
[3*]ON=NN=N,177
[3*]OC(=N)O,127
[3*]ON(O)O,103
[3*]ON=NC#N,78
[3*]OC(N)(N)O,76
[5*]NC(N)(O)O,76
[3*]ON(N)O,61
[3*]OC(=N)N,53
[5*]NC(=N)O,53
[1*]C(=O)N=NON=O,48
[8*]C(O)(O)O,47
[10*]N1N=NC1=O,40
[13*]C1(O)N=NN=NO1,37
[13*]C1(O)N=NON=N1,37
[13*]C1(O)NC(O)(O)O1,37
[13*]C1(O)N=NN1N=O,37
[13*]C1(N)OC(O)(O)O1,37
[1*]C(=O)N=NN=NO,37
[1*]C(=O)NN=NN=O,37
[13*]C1(O)OC(N)(O)O1,37
[1*]C(=O)N=NNN=O,37
[1*]C(=O)N=NON=N,37
[3*]OC(O)(O)N[5*],34
[13*]C1(O)OC(O)(O)O1,28
[13*]C1(O)OC(=O)O1,24
[13*]C12OC(O)(O1)O2,24
[8*]C(N)(O)O,23
[13*]C1(O)NC(=O)O1,23
[13*]C1(O)OC(=N)O1,23
[13*]C1(O)N=C(O)O1,23
[13*]C1(N)OC(=O)O1,23
[13*]C12OC(N)(O1)O2,23
[1*]C(=O)N=C(O)O,23
[13*]C12NC(O)(O1)O2,23
[13*]C1(O)ON(O)O1,20
[3*]OC(N)(O)N[5*],20
[13*]C1(O)NC(N)(O)O1,18
[13*]C1(O)NC(O)(O)N1,18
[13*]C1(N)NC(O)(O)O1,18
[13*]C1(O)OC(N)(N)O1,18
[13*]C1(N)OC(N)(O)O1,18
[9*]n1nnn1O,18
[13*]C1(O)N=NN1N=N,17
[13*]C1(N)N=NN1N=O,17
[1*]C(=O)N=NNN=N,17
[3*]OC(N)(O)O[3*],17
[1*]C(=O)NN=NN=N,17
[1*]C(=O)N=NN=NN,17
[13*]C1(N)N=NON=N1,17
[13*]C1(N)N=NN=NO1,17
[5*]N([5*])C(O)(O)O,17
[13*]C1(O)N=NNN=N1,17
[13*]C1(O)N=NN=NN1,17
[13*]C1(O)NN(O)O1,15
[3*]ON(N)N,15
[1*]C(=O)NN(O)O,15
[13*]C1(N)ON(O)O1,15
[13*]C1(O)ON(N)O1,15
[13*]C1(N)OC([13*])(O)O1,14
[13*]C1(O)N=C(O)N1,13
[13*]C1(O)NC(=O)N1,13
[13*]C1(O)N=C(N)O1,13
[13*]C1(O)NC(=N)O1,13
[1*]C(=O)N=C(N)O,13
[10*]N1C(=O)OC1(O)O,13
[3*]OC(N)(O)N=NON=O,13
[3*]OC(N)(O)ON=NN=O,13
[3*]OC(N)(O)N(N=O)N=O,13
[3*]OC(O)(O)N=NN=NO,13
[3*]ON=NN=NC(O)(O)O,13
[13*]C1(N)N=C(O)O1,13
[13*]C1(N)NC(=O)O1,13
[13*]C1(N)OC(=N)O1,13
[3*]OC(O)(O)NN=NN=O,13
[13*]C12NC(N)(O1)O2,13
[3*]OC(O)(O)N=NNN=O,13
[3*]OC(O)(O)ON=NN=N,13
[13*]C12NC(O)(N1)O2,13
[3*]OC(O)(O)N=NON=N,13
[5*]NC(O)(O)N=NON=O,13
[3*]OC(O)(O)N(N=N)N=O,13
[5*]NC(O)(O)N(N=O)N=O,13
[5*]NC(O)(O)ON=NN=O,13
[1*]C(=O)N=C=NN=O,12
[1*]C(=O)N=NN=C=O,12
[1*]C(=O)N=NOC#N,12
[3*]OC(O)(O)O[3*],12
[13*]C1([13*])N=NN1N=O,11
[13*]C1([13*])N=NN=NO1,11
[13*]C1([13*])N=NON=N1,11
[3*]OC(O)(O)N(N=O)N=O,10
[5*]NC(O)(O)N=NON=N,10
[3*]OC(N)(N)N(N=O)N=O,10
[5*]NC(O)(O)N[5*],10
[5*]NC(O)(O)N=NNN=O,10
[5*]NC(O)(O)ON=NN=N,10
[3*]OC(N)(N)ON=NN=O,10
[3*]OC(N)(N)N=NON=O,10
[3*]OC(N)(N)O[3*],10
[13*]C1(N)NC([13*])(O)O1,10
[3*]OC(N)(O)N(N=N)N=O,10
[5*]NC(O)(O)N(N=N)N=O,10
[5*]NC(N)(O)N=NON=O,10
[3*]OC(O)(O)N=NON=O,10
[3*]OC(O)(O)ON=NN=O,10
[5*]NC(N)(O)ON=NN=O,10
[3*]ON=NN=NC(N)(O)O,10
[5*]N([5*])C(N)(O)O,10
[5*]NC(N)(O)N(N=O)N=O,10
[3*]OC(O)(O)N=NN=NN,10
[3*]OC(O)(O)NN=NN=N,10
[5*]NC(O)(O)N=NN=NO,10
[3*]OC(N)(O)N=NN=NO,10
[3*]OC(O)(O)N(N=N)N=N,10
[3*]OC(N)(O)NN=NN=O,10
[3*]OC(N)(O)N=NNN=O,10
[3*]OC(O)(O)N=NNN=N,10
[3*]OC(N)(O)ON=NN=N,10
[5*]NC(O)(O)NN=NN=O,10
[3*]OC(N)(O)N=NON=N,10
[3*]OC(O)=NC(O)(O)O,9
[10*]N1C(=O)NC1(O)O,9
[3*]OC(O)(O)OC(=N)O,9
[3*]OC(=N)OC(O)(O)O,9
[5*]NC(=N)N,9
[10*]N1C(=O)OC1(N)O,9
[3*]OC(O)(O)N=C(O)O,9
[5*]N1C(O)(O)OC1(O)O,9
[3*]OC(N)(O)OC(=N)O,8
[5*]N(C(=N)O)C(O)(O)O,8
[5*]NC(N)(N)O,8
[3*]OC(N)(N)N,8
[5*]N1C(N)(O)OC1(O)O,8
[5*]N1C(O)(O)NC1(O)O,8
[3*]OC(=N)OC(N)(O)O,8
[3*]OC(N)(O)N=C(O)O,8
[3*]OC(O)(O)N=C(N)O,8
[3*]OC(O)(O)NC(=N)O,8
[3*]OC(=N)NC(O)(O)O,8
[3*]OC(O)(O)OC(=N)N,8
[5*]NC(O)(O)OC(=N)O,8
[5*]NC(=N)OC(O)(O)O,8
[5*]NC(O)=NC(O)(O)O,8
[3*]OC(N)=NC(O)(O)O,8
[3*]OC(O)=NC(N)(O)O,8
[5*]NC(O)(O)N=C(O)O,8
[13*]C1([13*])OC(N)(O)O1,7
[1*]C(=O)NN=NC#N,7
[3*]OC(=N)ON=NN=O,7
[3*]OC(=N)N=NON=O,7
[1*]C(=O)N=NNC#N,7
[3*]ON(O)ON=NC#N,7
[3*]ON(O)N=C=NN=O,7
[13*]C1(O)N=C=NN=N1,7
[3*]ON(O)N=NOC#N,7
[13*]C1([13*])NC(O)(O)O1,7
[3*]ON=NN=NC(=O)O,7
[13*]C1(O)N=NN1C#N,7
[3*]OC(O)=NN=NN=O,7
[3*]ON(O)N=NN=C=O,7
[13*]C1(O)NC([13*])(O)O1,7
[1*]C(=O)N=NN=C=N,7
[1*]C(=O)N=C=NN=N,7
[5*]NC(O)(O)ON(O)O,6
[3*]OC(O)(O)ON(N)O,6
[3*]ON(N)OC(O)(O)O,6
[3*]OC(O)(O)N=C=NN=O,6
[3*]OC(N)(O)ON(O)O,6
[3*]OC(O)(O)N(C#N)N=O,6
[3*]OC(O)(O)N=NN=C=O,6
[3*]ON(O)NC(O)(O)O,6
[3*]OC(O)(O)NN(O)O,6
[3*]OC(O)(O)ON=NC#N,6
[3*]ON(O)OC(N)(O)O,6
[3*]OC(O)(O)N=NOC#N,6
[3*]OC(N)(O)N=NOC#N,5
[5*]NC(O)(O)N=C=NN=O,5
[3*]OC(=N)N=NON=N,5
[13*]C1([13*])NC(O)(O)N1,5
[13*]C1([13*])OC(O)(O)O1,5
[5*]NC(O)(O)ON=NC#N,5
[3*]OC(N)(O)N=C=NN=O,5
[5*]NC(O)(O)N=NOC#N,5
[3*]OC(=N)ON=NN=N,5
[3*]OC(O)(O)N=C=NN=N,5
[3*]OC(O)(O)N(C#N)N=N,5
[3*]OC(=N)N=NNN=O,5
[3*]ON=NN=NC(N)=O,5
[3*]OC(=N)N=NN=NO,5
[3*]OC(N)(O)N(C#N)N=O,5
[3*]OC(N)=NN=NN=O,5
[3*]OC(O)=NN=NN=N,5
[3*]ON(N)N=NOC#N,5
[3*]OC(N)(O)N=NN=C=O,5
[3*]ON(O)NN=NC#N,5
[3*]ON(O)N=NNC#N,5
[13*]C1(N)OC([13*])(N)O1,5
[3*]ON(O)N=NN=C=N,5
[5*]NC(O)=NN=NN=O,5
[3*]OC(N)(O)ON=NC#N,5
[3*]OC(=N)NN=NN=O,5
[3*]OC(O)(O)N=NNC#N,5
[13*]C1(N)ON(N)O1,5
[5*]NC(O)(O)N(C#N)N=O,5
[13*]C1(N)NN(O)O1,5
[13*]C1(O)NC([13*])(O)N1,5
[13*]C1(O)NN(N)O1,5
[13*]C1(O)NN(O)N1,5
[3*]ON(N)N=C=NN=O,5
[3*]OC(O)(O)N=NN=C=N,5
[3*]OC(O)(O)NN=NC#N,5
[3*]ON(O)N=C=NN=N,5
[3*]ON(N)ON=NC#N,5
[1*]C(=O)NN(N)O,5
[3*]ON(N)N=NN=C=O,5
[13*]C12N=NN1N=N2,5
[14*]c1nnnnn1,5
[13*]C1(O)OC([13*])(O)O1,5
[3*]ON=NN=NC(=N)O,5
[13*]C1([13*])OC(N)(N)O1,5
[13*]C1([13*])N=NN=NN1,5
[5*]NC(=N)ON=NN=O,5
[13*]C1([13*])NC(N)(O)O1,5
[13*]C1([13*])N=NN1N=N,5
[5*]NC(=N)N=NON=O,5
[13*]C1([13*])N=NNN=N1,5
[5*]NC(O)(O)N=NN=C=O,5
[5*]NC(O)(O)ON(N)O,4
[3*]OC(O)(O)ON(N)N,4
[3*]OC(O)(O)NN(N)O,4
[9*]n1nnn1OC(O)(O)O,4
[5*]NC(O)(O)NN(O)O,4
[3*]OC(N)(N)ON(O)O,4
[1*]C(=O)N=NN=NO[3*],4
[13*]C1([13*])OC(=O)O1,4
[3*]ON(N)NC(O)(O)O,4
[13*]C1([13*])OC(=N)O1,4
[13*]C1([13*])NC(=O)O1,4
[8*]C(N)(O)OC(O)(O)O,4
[13*]C12NC([13*])(O1)O2,4
[13*]C12OC([13*])(O1)O2,4
[3*]OC(N)(O)ON(N)O,4
[3*]ON(O)NC(N)(O)O,4
[3*]OC(N)(N)N[5*],4
[3*]ON(N)OC(N)(O)O,4
[5*]NC(N)(O)ON(O)O,4
[3*]ON(O)OC(N)(N)O,4
[8*]C(O)(O)OC(O)(O)O,4
[9*]n1nnn1N,4
[8*]C(O)(O)NC(O)(O)O,4
[13*]C1([13*])N=C(O)O1,4
[3*]OC(N)(O)NN(O)O,4
[8*]C(O)(O)OC(N)(O)O,4
[13*]C1(O)NC(O)(O)N=NN=NO1,3
[13*]C1(N=NN=NO)NC(O)(O)O1,3
[13*]C1(O)N=NN=NOC(O)(O)N1,3
[13*]C1(N=NON=N)NC(O)(O)O1,3
[13*]C1(NN=NN=O)NC(O)(O)O1,3
[13*]C1(O)N=NON=NC(O)(O)N1,3
[13*]C1(N=NNN=O)NC(O)(O)O1,3
[13*]C1(O)ON=NN=NC(N)(O)O1,3
[9*]n1nnnnc1=O,3
[8*]C(N)(N)O,3
[9*]n1nnc(=O)nn1,3
[13*]C1(N=NNN=N)OC(O)(O)O1,3
[13*]C1(O)N=NN=NOC(N)(O)O1,3
[13*]C1(N=NN=NN)OC(O)(O)O1,3
[5*]NC(N)(O)N(N=N)N=O,3
[9*]n1nnn1N=C=O,3
[13*]C1(NN=NN=N)OC(O)(O)O1,3
[5*]NC(O)(O)N(N=N)N=N,3
[10*]N1C(=O)NC1(N)O,3
[3*]OC(N)(O)N(N=N)N=N,3
[10*]N1C(=O)OC1(N)N,3
[13*]C1([13*])NC(=N)O1,3
[1*]C(=O)N=C(N)N,3
[13*]C1([13*])N=C(N)O1,3
[13*]C1(N)N=NN1N=N,3
[13*]C1([13*])N=C(O)N1,3
[9*]n1nnn1OC#N,3
[13*]C1(O)N=NON=NC(O)(O)O1,3
[13*]C1(O)N=NN=NOC(O)(O)O1,3
[13*]C1(O)ON=NN=NC(O)(O)O1,3
[13*]C1(O)N=NNN=NC(O)(O)O1,3
[13*]C1(O)N=NN=NNC(O)(O)O1,3
[13*]C1(O)NN=NN=NC(O)(O)O1,3
[13*]C1([13*])N=C=NN=N1,3
[5*]NC(N)(O)NN=NN=O,3
