SMILES,MW,HBA,HBD,LogP,lipinski_valid,Error,Fragments,chemval,chem_violation
N#CN=NN(N=NC(O)(O)O)C(O)(O)O,222.034881912,11,6,-3.3197200000000002,False,False,['N#CN=NN(N=NC(O)(O)O)C(O)(O)O'],False,"PAINS, Geminal diol/triol, Hydrazine"
N#CN(N=NN=NC(O)(O)O)C(O)(O)O,222.034881912,9,6,-3.3197200000000002,True,False,['N#CN(N=NN=NC(O)(O)O)C(O)(O)O'],False,"PAINS, Geminal diol/triol, Hydrazine"
N#CN=NN=NN(C(O)(O)O)C(O)(O)O,222.034881912,9,6,-3.3197200000000002,True,False,['N#CN=NN=NN(C(O)(O)O)C(O)(O)O'],False,"PAINS, Geminal diol/triol, Hydrazine"
OC(N=C=NN=NN=NC(O)(O)O)(O)O,222.034881912,9,6,-2.9289,True,False,['OC(O)(O)N=C=NN=NN=NC(O)(O)O'],False,"PAINS, Geminal diol/triol, Hydrazine"
OC(N=NN=C=NN=NC(O)(O)O)(O)O,222.034881912,10,6,-2.9289,True,False,['OC(O)(O)N=NN=C=NN=NC(O)(O)O'],False,"PAINS, Geminal diol/triol, Hydrazine"
O=NN(N=NC#N)C(OC(O)(O)O)(O)N,222.034881912,11,5,-3.0148200000000003,True,False,['N#CN=NN(N=O)C(N)(O)OC(O)(O)O'],False,"PAINS, Geminal diol/triol, Hydrazine"
O=NN(N=NC#N)C(OC(N)(O)O)(O)O,222.034881912,11,5,-3.01482,True,False,['N#CN=NN(N=O)C(O)(O)OC(N)(O)O'],False,"PAINS, Geminal diol/triol, Hydrazine"
O=NN(N=NC#N)C(NC(O)(O)O)(O)O,222.034881912,11,6,-3.40822,False,False,['N#CN=NN(N=O)C(O)(O)NC(O)(O)O'],False,"PAINS, Geminal diol/triol, Hydrazine"
N=NN(N=NC#N)C(OC(O)(O)O)(O)O,222.03488191200003,11,6,-2.71665,False,False,['N#CN=NN(N=N)C(O)(O)OC(O)(O)O'],False,"PAINS, Geminal diol/triol, Hydrazine"
N#CN(N=NN=O)C(OC(O)(O)O)(O)N,222.034881912,9,5,-3.0148200000000003,True,False,['N#CN(N=NN=O)C(N)(O)OC(O)(O)O'],False,"PAINS, Geminal diol/triol, Hydrazine"
N#CN(N=NN=O)C(OC(N)(O)O)(O)O,222.034881912,9,5,-3.01482,True,False,['N#CN(N=NN=O)C(O)(O)OC(N)(O)O'],False,"PAINS, Geminal diol/triol, Hydrazine"
N#CN(N=NN=O)C(NC(O)(O)O)(O)O,222.034881912,9,6,-3.40822,True,False,['N#CN(N=NN=O)C(O)(O)NC(O)(O)O'],False,"PAINS, Geminal diol/triol, Hydrazine"
N#CN(N=NN=N)C(OC(O)(O)O)(O)O,222.034881912,9,6,-2.71665,True,False,['N#CN(N=NN=N)C(O)(O)OC(O)(O)O'],False,"PAINS, Geminal diol/triol, Hydrazine"
N#CN=NON=NC(OC(O)(O)O)(O)N,222.034881912,12,5,-2.6144200000000004,True,False,['N#CN=NON=NC(N)(O)OC(O)(O)O'],False,"PAINS, Geminal diol/triol"
N#CON=NN=NC(OC(O)(O)O)(O)N,222.034881912,10,5,-2.61442,True,False,['N#CON=NN=NC(N)(O)OC(O)(O)O'],False,"PAINS, Geminal diol/triol, Hydrazine"
N#CN=NN=NOC(OC(O)(O)O)(O)N,222.034881912,10,5,-2.6144200000000004,True,False,['N#CN=NN=NOC(N)(O)OC(O)(O)O'],False,"PAINS, Geminal diol/triol, Hydrazine"
O=C=NN=NN=NC(OC(O)(O)O)(O)N,222.034881912,9,5,-2.7763,True,False,['NC(O)(N=NN=NN=C=O)OC(O)(O)O'],False,"PAINS, Geminal diol/triol, Hydrazine"
N#CN=NON=NC(OC(N)(O)O)(O)O,222.034881912,12,5,-2.61442,True,False,['N#CN=NON=NC(O)(O)OC(N)(O)O'],False,"PAINS, Geminal diol/triol"
N#CON=NN=NC(OC(N)(O)O)(O)O,222.034881912,10,5,-2.61442,True,False,['N#CON=NN=NC(O)(O)OC(N)(O)O'],False,"PAINS, Geminal diol/triol, Hydrazine"
N#CN=NN=NOC(OC(N)(O)O)(O)O,222.034881912,10,5,-2.61442,True,False,['N#CN=NN=NOC(O)(O)OC(N)(O)O'],False,"PAINS, Geminal diol/triol, Hydrazine"
O=C=NN=NN=NC(OC(N)(O)O)(O)O,222.034881912,9,5,-2.7763,True,False,['NC(O)(O)OC(O)(O)N=NN=NN=C=O'],False,"PAINS, Geminal diol/triol, Hydrazine"
N#CN=NON=NC(NC(O)(O)O)(O)O,222.034881912,12,6,-3.00782,False,False,['N#CN=NON=NC(O)(O)NC(O)(O)O'],False,"PAINS, Geminal diol/triol"
N#CON=NN=NC(NC(O)(O)O)(O)O,222.034881912,10,6,-3.00782,True,False,['N#CON=NN=NC(O)(O)NC(O)(O)O'],False,"PAINS, Geminal diol/triol, Hydrazine"
N#CN=NN=NOC(NC(O)(O)O)(O)O,222.034881912,10,6,-3.00782,True,False,['N#CN=NN=NOC(O)(O)NC(O)(O)O'],False,"PAINS, Geminal diol/triol, Hydrazine"
O=C=NN=NN=NC(NC(O)(O)O)(O)O,222.034881912,9,6,-3.1697,True,False,['O=C=NN=NN=NC(O)(O)NC(O)(O)O'],False,"PAINS, Geminal diol/triol, Hydrazine"
