SMILES,MW,HBA,HBD,LogP,Valid,Error
OCOC(C)(O)C,106.06299418,3,2,-0.3188,True,False
CCOC(C)(O)O,106.06299418,3,2,-0.3188,True,False
OCCC(C)(O)O,106.06299418,3,3,-0.9304000000000001,True,False
CCCC(O)(O)O,106.06299418,3,3,-0.5828,True,False
OOOC(C)(C)C,106.06299417999999,3,1,1.2061,True,False
COOC(C)(O)C,106.06299418,3,1,0.2928,True,False
OOCC(C)(O)C,106.06299418,3,2,0.2469,True,False
COCC(C)(O)O,106.06299418,3,2,-0.6663999999999998,True,False
OC(O)C(C)(O)C,106.06299418,3,3,-0.9320000000000002,True,False
CC(O)C(C)(O)O,106.06299418,3,3,-0.9320000000000002,True,False
CC(C)C(O)(O)O,106.06299418,3,3,-0.7268999999999999,True,False
CC(O)OC(O)C,106.06299418,3,2,-0.3204,True,False
CC(C)OC(O)O,106.06299418,3,2,-0.3204,True,False
CC(O)CC(O)O,106.06299418,3,3,-0.9320000000000002,True,False
CC(OC)(O)OC,106.06299418,3,1,-0.054800000000000015,True,False
OC(CC)(O)OC,106.06299418,3,2,-0.3188,True,False
CC(OC)(C)OO,106.06299418,3,1,0.8585,True,False
CC(OC)(O)CO,106.06299418,3,2,-0.6664000000000001,True,False
CC(CC)(O)OO,106.06299418,3,2,0.5945,True,False
OC(CC)(O)CO,106.06299418,3,3,-0.9304000000000001,True,False
CC(CO)(C)OO,106.06299418,3,2,0.2469,True,False
CC(CO)(O)CO,106.06299418,3,3,-1.2780000000000002,True,False
CC(O)OCOC,106.06299418,3,1,-0.05479999999999996,True,False
OC(O)CCOC,106.06299418,3,2,-0.6664000000000001,True,False
OC(O)OCCC,106.06299417999999,3,2,-0.3188000000000002,True,False
CC(C)OCOO,106.06299418,3,1,0.8585,True,False
CC(O)CCOO,106.06299418,3,2,0.24690000000000006,True,False
CC(O)OCCO,106.06299418,3,2,-0.6664000000000001,True,False
OC(O)CCCO,106.06299418,3,3,-0.9304000000000001,True,False
CC(C)OOOC,106.06299418,3,0,0.9044,True,False
CC(O)COOC,106.06299418,3,1,-0.05479999999999996,True,False
CC(O)OOCC,106.06299418,3,1,0.2928,True,False
OC(O)COCC,106.06299417999999,3,2,-0.6664000000000003,True,False
CC(C)COOO,106.06299418,3,1,1.0636,True,False
CC(C)OOCO,106.06299418,3,1,0.2928,True,False
CC(O)COCO,106.06299418,3,2,-0.6664000000000001,True,False
OCOC(C)OC,106.06299418,3,1,-0.05479999999999996,True,False
CCOC(O)OC,106.06299418,3,1,-0.054800000000000015,True,False
OCCC(O)OC,106.06299418,3,2,-0.6664000000000001,True,False
OCOC(O)CC,106.06299417999999,3,2,-0.3188000000000002,True,False
CCOC(C)OO,106.06299418,3,1,0.8585,True,False
OCCC(C)OO,106.06299418,3,2,0.24689999999999984,True,False
OCOC(C)CO,106.06299418,3,2,-0.6664000000000001,True,False
CCCC(O)OO,106.06299418,3,2,0.5945,True,False
CCOC(O)CO,106.06299418,3,2,-0.6664000000000001,True,False
OCCC(O)CO,106.06299418,3,3,-1.2780000000000002,True,False
COOC(C)OC,106.06299418,3,0,0.5568,True,False
OOCC(C)OC,106.06299418,3,1,0.5108999999999999,True,False
OOOC(C)CC,106.06299417999999,3,1,1.2061,True,False
COCC(O)OC,106.06299418,3,1,-0.40239999999999987,True,False
COOC(O)CC,106.06299417999999,3,1,0.2928,True,False
OOCC(O)CC,106.06299417999999,3,2,0.2468999999999999,True,False
COCC(C)OO,106.06299418,3,1,0.5109000000000001,True,False
COOC(C)CO,106.06299418,3,1,-0.054800000000000015,True,False
OOCC(C)CO,106.06299418,3,2,0.10439999999999988,True,False
COCC(O)CO,106.06299418,3,2,-1.0139999999999998,True,False
OC(O)C(C)OC,106.06299418,3,2,-0.6680000000000001,True,False
CC(O)C(O)OC,106.06299418,3,2,-0.6680000000000001,True,False
OC(O)C(O)CC,106.06299417999999,3,3,-0.9320000000000004,True,False
CC(O)C(C)OO,106.06299418,3,2,0.24530000000000002,True,False
OC(O)C(C)CO,106.06299418,3,3,-1.0745000000000002,True,False
CC(C)C(O)OO,106.06299418,3,2,0.4503999999999999,True,False
CC(O)C(O)CO,106.06299418,3,3,-1.2796,True,False
COC(OC)OC,106.06299418,3,0,0.20920000000000005,True,False
COC(OC)CO,106.06299418,3,1,-0.40240000000000004,True,False
CCC(OC)OO,106.06299418,3,1,0.8585,True,False
COC(CO)CO,106.06299418,3,2,-1.0140000000000002,True,False
CCC(CO)OO,106.06299418,3,2,0.2469,True,False
OCC(CO)CO,106.06299418,3,3,-1.4205000000000003,True,False
