SMILES,MW,HBA,HBD,LogP,Valid,Error,Fragments
OCOC(C)(O)C,106.06299418,3,2,-0.3188,True,False,"['[4*]C(C)(C)O', '[3*]OCO']"
CCOC(C)(O)O,106.06299418,3,2,-0.3188,True,False,"['[4*]CC', '[4*]C(C)(O)O', '[3*]O[3*]']"
OCCC(C)(O)O,106.06299418,3,3,-0.9304,True,False,['CC(O)(O)CCO']
CCCC(O)(O)O,106.06299418,3,3,-0.5828,True,False,['CCCC(O)(O)O']
OOOC(C)(C)C,106.06299418,3,1,1.2061,True,False,"['[4*]C(C)(C)C', '[3*]OOO']"
COOC(C)(O)C,106.06299418,3,1,0.2928,True,False,"['[4*]C(C)(C)O', '[3*]OOC']"
OOCC(C)(O)C,106.06299418,3,2,0.2469,True,False,"['[4*]CC(C)(C)O', '[3*]OO']"
COCC(C)(O)O,106.06299418,3,2,-0.6663999999999998,True,False,"['[4*]CC(C)(O)O', '[3*]OC']"
OC(O)C(C)(O)C,106.06299418,3,3,-0.9320000000000002,True,False,['CC(C)(O)C(O)O']
CC(O)C(C)(O)O,106.06299418,3,3,-0.9320000000000002,True,False,['CC(O)C(C)(O)O']
CC(C)C(O)(O)O,106.06299418,3,3,-0.7268999999999999,True,False,['CC(C)C(O)(O)O']
CC(O)OC(O)C,106.06299418,3,2,-0.3204,True,False,"['[3*]O[3*]', '[4*]C(C)O']"
CC(C)OC(O)O,106.06299418,3,2,-0.3204,True,False,"['[3*]OC(O)O', '[4*]C(C)C']"
CC(O)CC(O)O,106.06299418,3,3,-0.9320000000000002,True,False,['CC(O)CC(O)O']
CC(OC)(O)OC,106.06299418,3,1,-0.0548,True,False,"['[4*]C([4*])(C)O', '[3*]OC']"
OC(CC)(O)OC,106.06299418,3,2,-0.3188,True,False,"['[3*]OC', '[4*]C(O)(O)CC']"
CC(OC)(C)OO,106.06299418,3,1,0.8585,True,False,"['[3*]OC', '[3*]OO', '[4*]C([4*])(C)C']"
CC(OC)(O)CO,106.06299418,3,2,-0.6664000000000001,True,False,"['[3*]OC', '[4*]C(C)(O)CO']"
CC(CC)(O)OO,106.06299418,3,2,0.5945,True,False,"['[3*]OO', '[4*]C(C)(O)CC']"
OC(CC)(O)CO,106.06299418,3,3,-0.9304,True,False,['CCC(O)(O)CO']
CC(CO)(C)OO,106.06299418,3,2,0.2469,True,False,"['[3*]OO', '[4*]C(C)(C)CO']"
CC(CO)(O)CO,106.06299418,3,3,-1.2780000000000002,True,False,['CC(O)(CO)CO']
CC(O)OCOC,106.06299418,3,1,-0.0547999999999999,True,False,"['[3*]OCOC', '[4*]C(C)O']"
OC(O)CCOC,106.06299418,3,2,-0.6664000000000001,True,False,"['[3*]OC', '[4*]CCC(O)O']"
OC(O)OCCC,106.06299418,3,2,-0.3188000000000002,True,False,"['[3*]OC(O)O', '[4*]CCC']"
CC(C)OCOO,106.06299418,3,1,0.8585,True,False,"['[3*]OCOO', '[4*]C(C)C']"
CC(O)CCOO,106.06299418,3,2,0.2469,True,False,"['[4*]CCC(C)O', '[3*]OO']"
CC(O)OCCO,106.06299418,3,2,-0.6664000000000001,True,False,"['[4*]CCO', '[3*]O[3*]', '[4*]C(C)O']"
OC(O)CCCO,106.06299418,3,3,-0.9304,True,False,['OCCCC(O)O']
CC(C)OOOC,106.06299418,3,0,0.9044,True,False,"['[4*]C(C)C', '[3*]OOOC']"
CC(O)COOC,106.06299418,3,1,-0.0547999999999999,True,False,"['[4*]CC(C)O', '[3*]OOC']"
CC(O)OOCC,106.06299418,3,1,0.2928,True,False,"['[3*]OO[3*]', '[4*]CC', '[4*]C(C)O']"
OC(O)COCC,106.06299418,3,2,-0.6664000000000003,True,False,"['[4*]CC(O)O', '[3*]O[3*]', '[4*]CC']"
CC(C)COOO,106.06299418,3,1,1.0636,True,False,"['[3*]OOO', '[4*]CC(C)C']"
CC(C)OOCO,106.06299418,3,1,0.2928,True,False,"['[4*]C(C)C', '[3*]OOCO']"
CC(O)COCO,106.06299418,3,2,-0.6664000000000001,True,False,"['[4*]CC(C)O', '[3*]OCO']"
OCOC(C)OC,106.06299418,3,1,-0.0547999999999999,True,False,"['[4*]C([4*])C', '[3*]OC', '[3*]OCO']"
CCOC(O)OC,106.06299418,3,1,-0.0548,True,False,"['[4*]CC', '[3*]OC(O)OC']"
OCCC(O)OC,106.06299418,3,2,-0.6664000000000001,True,False,"['[4*]C(O)CCO', '[3*]OC']"
OCOC(O)CC,106.06299418,3,2,-0.3188000000000002,True,False,"['[3*]OCO', '[4*]C(O)CC']"
CCOC(C)OO,106.06299418,3,1,0.8585,True,False,"['[3*]O[3*]', '[4*]CC', '[4*]C([4*])C', '[3*]OO']"
OCCC(C)OO,106.06299418,3,2,0.2468999999999998,True,False,"['[4*]C(C)CCO', '[3*]OO']"
OCOC(C)CO,106.06299418,3,2,-0.6664000000000001,True,False,"['[4*]C(C)CO', '[3*]OCO']"
CCCC(O)OO,106.06299418,3,2,0.5945,True,False,"['[3*]OO', '[4*]C(O)CCC']"
CCOC(O)CO,106.06299418,3,2,-0.6664000000000001,True,False,"['[4*]CC', '[3*]O[3*]', '[4*]C(O)CO']"
OCCC(O)CO,106.06299418,3,3,-1.2780000000000002,True,False,['OCCC(O)CO']
COOC(C)OC,106.06299418,3,0,0.5568,True,False,"['[4*]C([4*])C', '[3*]OC', '[3*]OOC']"
OOCC(C)OC,106.06299418,3,1,0.5108999999999999,True,False,"['[4*]CC([4*])C', '[3*]OC', '[3*]OO']"
OOOC(C)CC,106.06299418,3,1,1.2061,True,False,"['[4*]C(C)CC', '[3*]OOO']"
COCC(O)OC,106.06299418,3,1,-0.4023999999999998,True,False,"['[3*]OC', '[4*]CC([4*])O']"
COOC(O)CC,106.06299418,3,1,0.2928,True,False,"['[3*]OOC', '[4*]C(O)CC']"
OOCC(O)CC,106.06299418,3,2,0.2468999999999999,True,False,"['[4*]CC(O)CC', '[3*]OO']"
COCC(C)OO,106.06299418,3,1,0.5109000000000001,True,False,"['[4*]CC([4*])C', '[3*]OC', '[3*]OO']"
COOC(C)CO,106.06299418,3,1,-0.0548,True,False,"['[4*]C(C)CO', '[3*]OOC']"
OOCC(C)CO,106.06299418,3,2,0.1043999999999998,True,False,"['[4*]CC(C)CO', '[3*]OO']"
COCC(O)CO,106.06299418,3,2,-1.0139999999999998,True,False,"['[3*]OC', '[4*]CC(O)CO']"
OC(O)C(C)OC,106.06299418,3,2,-0.6680000000000001,True,False,"['[3*]OC', '[4*]C(C)C(O)O']"
CC(O)C(O)OC,106.06299418,3,2,-0.6680000000000001,True,False,"['[4*]C(O)C(C)O', '[3*]OC']"
OC(O)C(O)CC,106.06299418,3,3,-0.9320000000000004,True,False,['CCC(O)C(O)O']
CC(O)C(C)OO,106.06299418,3,2,0.2453,True,False,"['[4*]C(C)C(C)O', '[3*]OO']"
OC(O)C(C)CO,106.06299418,3,3,-1.0745000000000002,True,False,['CC(CO)C(O)O']
CC(C)C(O)OO,106.06299418,3,2,0.4503999999999999,True,False,"['[4*]C(O)C(C)C', '[3*]OO']"
CC(O)C(O)CO,106.06299418,3,3,-1.2796,True,False,['CC(O)C(O)CO']
COC(OC)OC,106.06299418,3,0,0.2092,True,False,['COC(OC)OC']
COC(OC)CO,106.06299418,3,1,-0.4024,True,False,"['[3*]OC', '[4*]C([4*])CO']"
CCC(OC)OO,106.06299418,3,1,0.8585,True,False,"['[4*]C([4*])CC', '[3*]OC', '[3*]OO']"
COC(CO)CO,106.06299418,3,2,-1.0140000000000002,True,False,"['[3*]OC', '[4*]C(CO)CO']"
CCC(CO)OO,106.06299418,3,2,0.2469,True,False,"['[4*]C(CC)CO', '[3*]OO']"
OCC(CO)CO,106.06299418,3,3,-1.4205000000000003,True,False,['OCC(CO)CO']
COCOCOC,106.06299418,3,0,0.2108000000000001,True,False,['COCOCOC']
COCCCOO,106.06299418,3,1,0.5125,True,False,"['[4*]CCC[4*]', '[3*]OC', '[3*]OO']"
COCOCCO,106.06299418,3,1,-0.4008,True,False,"['[4*]CCO', '[3*]OCOC']"
CCCOCOO,106.06299418,3,1,0.8601000000000001,True,False,"['[3*]OCOO', '[4*]CCC']"
OCCCCOO,106.06299418,3,2,0.2484999999999999,True,False,"['[4*]CCCCO', '[3*]OO']"
OCCOCCO,106.06299418,3,2,-1.0124,True,False,"['[4*]CCO', '[3*]O[3*]']"
COCCOOC,106.06299418,3,0,0.2108000000000001,True,False,"['[3*]OC', '[3*]OOC', '[4*]CC[4*]']"
COCOOCC,106.06299418,3,0,0.5584,True,False,"['[4*]CC', '[3*]OOCOC']"
CCCOOOC,106.06299418,3,0,0.906,True,False,"['[4*]CCC', '[3*]OOOC']"
OOCCOCC,106.06299418,3,1,0.5125,True,False,"['[3*]O[3*]', '[4*]CC[4*]', '[4*]CC', '[3*]OO']"
OCCCOOC,106.06299418,3,1,-0.0532000000000001,True,False,"['[3*]OOC', '[4*]CCCO']"
OCCOOCC,106.06299418,3,1,-0.0531999999999999,True,False,"['[3*]OO[3*]', '[4*]CCO', '[4*]CC']"
COCCOCO,106.06299418,3,1,-0.4008,True,False,"['[3*]OC', '[3*]OCO', '[4*]CC[4*]']"
CCCCOOO,106.06299418,3,1,1.2077,True,False,"['[3*]OOO', '[4*]CCCC']"
CCCOOCO,106.06299418,3,1,0.2944,True,False,"['[3*]OOCO', '[4*]CCC']"
OCCCOCO,106.06299418,3,2,-0.6648000000000001,True,False,"['[3*]OCO', '[4*]CCCO']"
CCOCOOC,106.06299418,3,0,0.5584,True,False,"['[4*]CC', '[3*]OCOOC']"
CCOOOCC,106.06299418,3,0,0.906,True,False,"['[4*]CC', '[3*]OOO[3*]']"
CCOCOCO,106.06299418,3,1,-0.0531999999999999,True,False,"['[4*]CC', '[3*]OCOCO']"
