SMILES,MW,HBA,HBD,LogP,lipinski_valid,Error,chemval,chem_violation
O=COC(C)(O)C,104.047344116,3,1,-0.11220000000000002,True,False,False,Geminal diol/triol
C=COC(C)(O)O,104.047344116,3,2,-0.19520000000000004,True,False,False,"Geminal diol/triol, Enol"
O=CCC(C)(O)O,104.047344116,3,2,-0.7238,True,False,False,Geminal diol/triol
OC=CC(C)(O)O,104.047344116,3,3,-0.24110000000000004,True,False,False,"Geminal diol/triol, Enol"
C=CCC(O)(O)O,104.047344116,3,3,-0.8068,True,False,False,Geminal diol/triol
CC=CC(O)(O)O,104.047344116,3,3,-0.8068,True,False,False,Geminal diol/triol
OC(=O)C(C)(O)C,104.047344116,2,2,-0.15810000000000013,True,False,True,
CC(=O)C(C)(O)O,104.047344116,3,2,-0.7238,True,False,False,Geminal diol/triol
C=C(O)C(C)(O)O,104.047344116,3,3,-0.24110000000000004,True,False,False,"Geminal diol/triol, Enol"
CC(=C)C(O)(O)O,104.047344116,3,3,-0.8068,True,False,False,Geminal diol/triol
CC(O)OC(=O)C,104.047344116,3,1,-0.11220000000000013,True,False,False,Geminal diol/triol
CC(O)OC(O)=C,104.047344116,3,2,0.37049999999999994,True,False,False,"Geminal diol/triol, Enol"
CC(C)OC(=O)O,104.047344116,2,1,1.0894,True,False,False,Geminal diol/triol
CC(=C)OC(O)O,104.047344116,3,2,-0.19519999999999998,True,False,False,"Geminal diol/triol, Enol"
CC(O)CC(=O)O,104.047344116,2,2,-0.15809999999999996,True,False,True,
CC(O)C=C(O)O,104.047344116,3,3,0.32459999999999994,True,False,False,"Geminal diol/triol, Enol"
CC(=O)CC(O)O,104.047344116,3,2,-0.7238,True,False,False,Geminal diol/triol
C=C(O)CC(O)O,104.047344116,3,3,-0.24110000000000004,True,False,False,"Geminal diol/triol, Enol"
CC(O)=CC(O)O,104.047344116,3,3,-0.24110000000000004,True,False,False,"Geminal diol/triol, Enol"
OC1OC(O1)(C)C,104.04734411599999,3,1,0.04519999999999991,True,False,False,Geminal diol/triol
CC1OC(O1)(O)C,104.047344116,3,1,0.04519999999999996,True,False,False,Geminal diol/triol
OC1OC(C1)(O)C,104.047344116,3,2,-0.5664,True,False,False,Geminal diol/triol
CC1OC(C1)(O)O,104.047344116,3,2,-0.5664,True,False,False,Geminal diol/triol
OC1CC(C1)(O)O,104.047344116,3,3,-1.1780000000000002,True,False,False,Geminal diol/triol
CC1(O)C(O1)(O)C,104.047344116,3,2,-0.5664,True,False,False,Geminal diol/triol
CC1(C)C(O1)(O)O,104.047344116,3,2,-0.5664,True,False,False,Geminal diol/triol
CC1(O)C(C1)(O)O,104.047344116,3,3,-1.1780000000000002,True,False,False,Geminal diol/triol
OC(C=C)(O)OC,104.047344116,3,2,-0.5428000000000002,True,False,False,Geminal diol/triol
CC(OC)(O)C=O,104.047344116,3,1,-0.4598,True,False,False,Geminal diol/triol
CC(C=C)(O)OO,104.047344116,3,2,0.37049999999999994,True,False,False,Geminal diol/triol
OC(CC)(O)C=O,104.047344116,3,2,-0.7238000000000002,True,False,False,Geminal diol/triol
OC(C=C)(O)CO,104.047344116,3,3,-1.1544,True,False,False,Geminal diol/triol
CC(C=O)(C)OO,104.047344116,3,1,0.45349999999999996,True,False,True,
CC(CO)(O)C=O,104.047344116,3,2,-1.0714000000000001,True,False,True,
CC(=O)OCOC,104.047344116,3,0,0.15339999999999998,True,False,False,Geminal diol/triol
C=C(O)OCOC,104.047344116,3,1,0.6360999999999999,True,False,False,"Geminal diol/triol, Enol"
OC(=O)CCOC,104.047344116,2,1,0.10750000000000015,True,False,True,
OC(O)=CCOC,104.047344116,3,2,0.5902,True,False,False,"Geminal diol/triol, Enol"
OC(O)C=COC,104.047344116,3,2,-0.5428000000000002,True,False,False,"Geminal diol/triol, Enol"
OC(=O)OCCC,104.04734411599999,2,1,1.091,True,False,False,Geminal diol/triol
OC(O)OC=CC,104.04734411599999,3,2,-0.19520000000000004,True,False,False,"Geminal diol/triol, Enol"
OC(O)OCC=C,104.04734411599999,3,2,-0.5428000000000002,True,False,False,Geminal diol/triol
CC(=C)OCOO,104.047344116,3,1,0.9837,True,False,False,"Geminal diol/triol, Enol"
CC(=O)CCOO,104.047344116,3,1,0.4551,True,False,True,
C=C(O)CCOO,104.047344116,3,2,0.9378,True,False,False,Enol
CC(O)=CCOO,104.047344116,3,2,0.9378,True,False,False,Enol
CC(O)C=COO,104.047344116,3,2,0.37049999999999994,True,False,False,Enol
CC(=O)OCCO,104.047344116,3,1,-0.4581999999999999,True,False,True,
C=C(O)OCCO,104.047344116,3,2,0.024499999999999966,True,False,False,"Geminal diol/triol, Enol"
CC(O)OC=CO,104.047344116,3,2,0.37049999999999994,True,False,False,"Geminal diol/triol, Enol"
CC(O)OCC=O,104.047344116,3,1,-0.4598,True,False,False,Geminal diol/triol
OC(=O)CCCO,104.047344116,2,2,-0.15650000000000003,True,False,True,
OC(O)=CCCO,104.047344116,3,3,0.3262,True,False,False,"Geminal diol/triol, Enol"
OC(O)C=CCO,104.047344116,3,3,-1.1544,True,False,False,Geminal diol/triol
OC(O)CC=CO,104.047344116,3,3,-0.24110000000000015,True,False,False,"Geminal diol/triol, Enol"
OC(O)CCC=O,104.047344116,3,2,-0.7238000000000002,True,False,False,Geminal diol/triol
CC(=C)OOOC,104.047344116,3,0,1.0295999999999998,True,False,False,Enol
CC(=O)COOC,104.047344116,3,0,0.15339999999999998,True,False,True,
C=C(O)COOC,104.047344116,3,1,0.6360999999999999,True,False,False,Enol
CC(O)=COOC,104.047344116,3,1,0.9837,True,False,False,Enol
CC(=O)OOCC,104.047344116,3,0,0.501,True,False,True,
C=C(O)OOCC,104.047344116,3,1,0.9837,True,False,False,"Geminal diol/triol, Enol"
CC(O)OOC=C,104.047344116,3,1,0.41639999999999994,True,False,False,"Geminal diol/triol, Enol"
OC(=O)COCC,104.04734411599999,2,1,0.10750000000000015,True,False,True,
OC(O)=COCC,104.04734411599999,3,2,0.9378,True,False,False,"Geminal diol/triol, Enol"
OC(O)COC=C,104.04734411599999,3,2,-0.5428000000000002,True,False,False,"Geminal diol/triol, Enol"
CC(=C)COOO,104.047344116,3,1,0.9837,True,False,True,
CC(C)=COOO,104.047344116,3,1,1.3313000000000001,True,False,False,Enol
CC(=C)OOCO,104.047344116,3,1,0.418,True,False,False,"Geminal diol/triol, Enol"
CC(C)OOC=O,104.047344116,3,0,0.4994,True,False,True,
CC(=O)COCO,104.047344116,3,1,-0.4581999999999999,True,False,False,Geminal diol/triol
C=C(O)COCO,104.047344116,3,2,0.024499999999999966,True,False,False,"Geminal diol/triol, Enol"
CC(O)=COCO,104.047344116,3,2,0.37209999999999993,True,False,False,"Geminal diol/triol, Enol"
CC(O)COC=O,104.047344116,3,1,-0.4598,True,False,True,
OC1(O)OCC1C,104.04734411599999,3,2,-0.7089000000000001,True,False,False,Geminal diol/triol
CC1(O)OCC1O,104.047344116,3,2,-0.9140000000000001,True,False,False,Geminal diol/triol
