SMILES,MW,HBA,HBD,LogP,lipinski_valid,Error,Fragments
O=COC(C)(O)C,104.047344116,3,1,-0.1122,True,False,"['[4*]C(C)(C)O', '[3*]OC=O']"
C=COC(C)(O)O,104.047344116,3,2,-0.1952,True,False,"['[4*]C(C)(O)O', '[3*]OC=C']"
O=CCC(C)(O)O,104.047344116,3,2,-0.7238,True,False,['CC(O)(O)CC=O']
OC=CC(C)(O)O,104.047344116,3,3,-0.2411,True,False,['CC(O)(O)C=CO']
C=CCC(O)(O)O,104.047344116,3,3,-0.8068,True,False,['C=CCC(O)(O)O']
CC=CC(O)(O)O,104.047344116,3,3,-0.8068,True,False,"['[7*]CC', '[7*]CC(O)(O)O']"
OC(=O)C(C)(O)C,104.047344116,2,2,-0.1581000000000001,True,False,['CC(C)(O)C(=O)O']
CC(=O)C(C)(O)O,104.047344116,3,2,-0.7238,True,False,['CC(=O)C(C)(O)O']
C=C(O)C(C)(O)O,104.047344116,3,3,-0.2411,True,False,['C=C(O)C(C)(O)O']
CC(=C)C(O)(O)O,104.047344116,3,3,-0.8068,True,False,['C=C(C)C(O)(O)O']
CC(O)OC(=O)C,104.047344116,3,1,-0.1122000000000001,True,False,"['[3*]O[3*]', '[4*]C(C)O', '[1*]C(C)=O']"
CC(O)OC(O)=C,104.047344116,3,2,0.3704999999999999,True,False,"['[4*]C(C)O', '[3*]OC(=C)O']"
CC(C)OC(=O)O,104.047344116,2,1,1.0894,True,False,"['[1*]C(=O)O', '[3*]O[3*]', '[4*]C(C)C']"
CC(=C)OC(O)O,104.047344116,3,2,-0.1951999999999999,True,False,['C=C(C)OC(O)O']
CC(O)CC(=O)O,104.047344116,2,2,-0.1580999999999999,True,False,['CC(O)CC(=O)O']
CC(O)C=C(O)O,104.047344116,3,3,0.3245999999999999,True,False,['CC(O)C=C(O)O']
CC(=O)CC(O)O,104.047344116,3,2,-0.7238,True,False,['CC(=O)CC(O)O']
C=C(O)CC(O)O,104.047344116,3,3,-0.2411,True,False,['C=C(O)CC(O)O']
CC(O)=CC(O)O,104.047344116,3,3,-0.2411,True,False,"['[7*]CC(O)O', '[7*]C(C)O']"
OC1OC(O1)(C)C,104.047344116,3,1,0.0451999999999999,True,False,['CC1(C)OC(O)O1']
CC1OC(O1)(O)C,104.047344116,3,1,0.0451999999999999,True,False,['CC1OC(C)(O)O1']
OC1OC(C1)(O)C,104.047344116,3,2,-0.5664,True,False,['CC1(O)CC(O)O1']
CC1OC(C1)(O)O,104.047344116,3,2,-0.5664,True,False,['CC1CC(O)(O)O1']
OC1CC(C1)(O)O,104.047344116,3,3,-1.1780000000000002,True,False,['OC1CC(O)(O)C1']
CC1(O)C(O1)(O)C,104.047344116,3,2,-0.5664,True,False,['CC1(O)OC1(C)O']
CC1(C)C(O1)(O)O,104.047344116,3,2,-0.5664,True,False,['CC1(C)OC1(O)O']
