Fragment,Count
[3*]O[3*],895
[7*]CC#C,543
[3*]OC#C,285
[4*]C(C)(O)O,238
[1*]C(=O)O,185
[1*]C(C)=O,182
[7*]CC(O)(O)O,146
[7*]C[8*],143
[3*]OC(=C)O,133
[8*]CC(O)(O)O,108
[7*]C(C)O,103
[7*]CC(=O)O,99
[8*]C(O)(O)O,94
[15*]C1(O)C#C1,91
[3*]OC(O)(O)O,87
[6*]C(=O)C#C,77
[4*]C(C)(C)O,69
[7*]CC(C)(O)O,63
[6*]C(=O)O,58
[3*]OC(=C)C,57
[7*]CC(C)=O,56
[7*]CC(=C)O,56
[8*]CC#C,53
[4*]C(O)(O)C#C,52
[8*]C(C)(O)O,49
[15*]C1(C)C#C1,48
[1*]C(=O)C#C,44
[4*]C(O)(O)C[7*],44
[7*]C(O)C#C,43
[4*]C(C)(O)C#C,40
[15*]C1(C#C)C#C1,38
[8*]CC(=O)O,38
[3*]OC=O,38
[4*]C(O)(O)C#CC#C,37
[6*]C(C)=O,35
[8*]CC(C)(O)O,35
[7*]CC#CC(=O)O,34
[15*]C1(O)C#CC#C1,33
[7*]C1C#CC1(O)O,33
[7*]C(C#C)C(O)(O)O,32
[7*]CC#CC(O)(O)O,32
[4*]C1(C)C#C1,32
[4*]C(O)(C#C)C#C,31
[1*]C(=O)C[7*],31
[13*]C12OC(C)(O1)O2,29
[13*]C12CC(O)(O1)O2,29
[15*]C1([15*])C#C1,29
[7*]CC([7*])O,28
[7*]C1C#CC1=O,27
[3*]OC=C,26
[3*]OC(=C)C#C,26
[4*]C(C)(O)C#CC#C,26
[4*]C([4*])(C)O,25
[4*]C(C)(O)C[7*],21
[7*]C(O)C#CC=O,21
[7*]CC#CC(=C)O,21
[7*]CC#CC(C)=O,21
[7*]C(O)C=C=C=O,21
[4*]C1(C#C)C#C1,20
[15*]C12CC(O)(C1)O2,20
[13*]C12CC(O)(C1)O2,20
[13*]C12CC(C)(O1)O2,20
[4*]C(C)(O)C#CC=O,19
[8*]CC(=C)O,19
[7*]C1C#CC1(C)O,19
[4*]C(C)(O)C=C=C=O,19
[4*]C(O)(O)C#CC=C,19
[8*]CC(C)=O,19
[4*]C(O)(O)C(=C)C#C,19
[13*]C1(O)C#CO1,19
[4*]C(O)(O)C=C=C=C,19
[4*]C(C)(O)C(=O)C#C,19
[15*]C1(C)C#CC#C1,18
[7*]C(O)C#CC#C,18
[4*]C(C)(C#C)C#C,18
[7*]C(C#C)C#C,17
[7*]C1C#CC1=C,17
[8*]C[8*],17
[1*]C([1*])=O,17
[7*]CC#CC#C,17
[8*]CC(O)(O)C#C,17
[4*]C1([15*])C#C1,17
[1*]C(=O)C#CC#C,16
[7*]C(C#C)C(C)(O)O,16
[7*]CC#CC(C)(O)O,16
