Fragment,Count
[1*]C(=O)O,487
[3*]O[3*],381
[3*]ON=O,329
[1*]C(N)=O,290
[1*]C([1*])=O,227
[5*]N[5*],222
[3*]ON=N,217
[3*]ON(O)O,167
[1*]C(=O)N=O,140
[3*]OC(O)(O)O,100
[3*]ON(N)O,99
[3*]OC(=N)O,86
[3*]OC#N,83
[3*]OO,77
[3*]OC(N)(O)O,74
[1*]C(=O)N=N,62
[5*]NC(O)(O)O,57
[3*]ON(N)N,45
[3*]ON,45
[13*]C1(O)N=N1,43
[5*]NC(=N)O,39
[4*]C(O)(O)C#N,39
[3*]OC(=N)N,37
[3*]ON(O)N=O,32
[3*]OC(O)(O)N=O,29
[8*]C(O)(O)O,29
[13*]C1(O)N=NO1,27
[5*]NC#N,27
[13*]C1([13*])N=N1,26
[3*]OC(O)(O)N=N,26
[5*]NC(N)(O)O,26
[1*]C(=O)NN=O,23
[4*]C(N)(O)C#N,22
[1*]C(=O)N=NO,22
[5*]NC(O)(O)N=O,20
[3*]ON=NO,20
[3*]OC(N)(N)O,20
[1*]C(=O)C#N,18
[8*]C(N)(O)O,18
[3*]OC(N)(O)N=O,18
[14*]c1nn(O)o1,16
[13*]C1(N)N=N1,16
[13*]C12ON(O1)O2,16
[13*]C1(O)NN(O)O1,16
[1*]C(=O)NN(O)O,15
[13*]C1(O)ON(N)O1,15
[13*]C12NN(N1)O2,15
[13*]C1(N)ON(O)O1,15
[3*]OON=O,15
[13*]C12NN(O1)O2,14
[3*]OC(=N)N=O,14
[4*]C([4*])(O)C#N,14
[3*]ON(O)N=N,14
[3*]ON(N)N=O,13
[3*]OO[3*],13
[3*]OOO,13
[3*]OON=N,12
[13*]C1(N)NN(O)O1,12
[4*]C([4*])(N)C#N,11
[13*]C12OC(N)(O1)O2,11
[1*]C(=O)N=NN,11
[14*]c1nn(N)o1,11
[13*]C1(O)ON(O)O1,11
[5*]NC(=N)N,11
[13*]C1(O)OC(=N)O1,11
[1*]C(=O)NN=N,10
[14*]c1nn(O)[nH]1,10
[13*]C1([13*])N=NO1,10
[13*]C1(O)N=NN1,10
[3*]ON(N)O[3*],9
[3*]ONN=N,9
[3*]ON=NN,9
[13*]C1(O)NN(N)O1,9
[3*]ON(O)C#N,9
[3*]ON(O)O[3*],9
[3*]OC(N)(N)N=O,9
[5*]N([5*])C(O)(O)O,8
[13*]C1(N)OO1,8
[13*]C1(N)OC(=O)O1,8
[1*]C(=O)NN(N)O,8
[1*]C(=O)N=NN=O,8
[3*]OC(N)(O)N[5*],8
[1*]C(=O)N=C=O,7
[3*]OOC(O)(O)O,7
[5*]NC(O)(O)N=N,7
[3*]OOC#N,7
[1*]C(=O)NO,7
[3*]ONO,7
[5*]NC(N)(O)N=O,7
[13*]C1(O)NC(=O)N1,7
[3*]OC=O,7
[13*]C1(N)N=NO1,7
[3*]ONN=O,7
[3*]ON(N=O)N=O,7
[4*]C(N)(N)C#N,7
[13*]C1(O)NC(=O)O1,7
[3*]OC(O)(O)ON=O,6
[9*]n1c(=O)on1O,6
[13*]C1(O)OC(=O)O1,6
[3*]OC(O)(O)NN=N,6
[3*]ON(O)ON=O,6
[3*]OC(O)(O)N=NO,6
[13*]C1([13*])NN(O)O1,6
[3*]OC(O)(O)NN=O,6
[3*]OON,6
[1*]C(=O)NN,6
[13*]C1(O)OO1,6
[13*]C1(N)N=C(O)O1,6
[9*]n1c(=O)[nH]n1O,6
[13*]C1([13*])NO1,6
[3*]ON(N)ON=O,6
[13*]C12N=C(O1)O2,6
[3*]ON=NN=N,6
[3*]OC(O)=NN=O,5
[13*]C1(N)OC([13*])(O)O1,5
[4*]C(O)(O)C=O,5
[13*]C1(O)ON(N=O)O1,5
[3*]OC(N)(N)N,5
[13*]C1(O)N=C(O)O1,5
[3*]OC(N)(O)NN=O,5
[3*]OC(O)(O)N=NN,5
[3*]ON(N)NN=O,5
[9*]n1c2nn1o2,5
[5*]NC(O)(O)ON=N,5
[8*]C(O)(O)N=N,5
[13*]C1(N)OC(O)(N=O)O1,5
[3*]OC(O)(O)ON=N,5
[13*]C1(O)NC(O)(O)O1,5
[9*]n1nnn1O,5
[3*]OC(N)(O)N=N,5
[3*]ON=NC(O)(O)O,5
[3*]ON=NN(O)O,5
[3*]OC(O)=NO,5
[4*]C(N)(O)C=O,5
[13*]C1(O)NC(=N)O1,5
[3*]OC(N)(O)ON=N,5
[3*]ON1NC(O)(O)O1,5
[9*]n1c(=N)on1O,5
[13*]C12NC(N)(O1)O2,5
[3*]On1nc([14*])o1,5
[13*]C1(O)N=C=N1,5
[3*]OC(=N)N=N,5
[5*]NC(O)(O)ON=O,5
[5*]NC(O)(O)NN=O,5
[3*]ON1ON(N)O1,4
[13*]C1(N)NC(O)(O)O1,4
[3*]OC(=N)ON=O,4
[3*]ON(O)N=C=N,4
[3*]ON(O)NN=O,4
[8*]C(O)(O)ON=O,4
[1*]C(=O)N=NC(N)(O)O,4
[13*]C1(O)N=NC(O)(O)N1,4
[3*]OC(O)=NN=N,4
[3*]ON1NC([13*])(O)O1,4
[13*]C1([13*])OC(N)(N=N)O1,4
[13*]C1([13*])ON(N)O1,4
[8*]C(N)(O)N=O,4
[13*]C1(O)N=NN=N1,4
[1*]C(=O)N=C(N)O,4
[5*]NC(N)(O)ON=O,4
[3*]OC(O)=NN(N)N,4
[13*]C1(N)ON(N)O1,4
[13*]C1(O)N=NC(O)(O)O1,4
[13*]C1([13*])ON(O)O1,4
[3*]OC(N)(O)ON=O,4
[13*]C1(N)NC(O)(N=O)O1,4
[3*]ON(O)ON=N,4
[1*]C(=O)N=C(O)O,4
[4*]C([4*])C#N,4
[13*]C1([13*])N=NC(O)(O)O1,4
[3*]ON(O)N=NO,4
[13*]C1([13*])N=C(O)O1,4
[8*]C(N)(O)ON=N,4
[5*]NC(N)(N)O,4
[5*]N(C#N)C(N)(O)O,4
[4*]C(C)(O)N=O,4
[13*]C12NC(O)(O1)O2,4
