SMILES,MW,HBA,HBD,LogP,Valid,Error
N#CN=NN=NOC(NC(O)(O)O)(O)O,222.034881912,10,6,-3.00782,True,False
O=NN(N=NC(O)(O)O)C(N=C=N)(O)O,222.034881912,11,6,-2.72623,False,False
N#CN=NN(C(O)(O)O)C(NN=O)(O)O,222.034881912,10,6,-3.40822,True,False
N#CNC(N=NN=NOC(O)(O)O)(O)O,222.034881912,10,6,-3.00782,True,False
O=NNN=NC(NC(OC#N)(O)O)(O)O,222.034881912,11,6,-3.09632,False,False
O=NN=C=NC(OC(NN=O)(O)O)(O)N,222.034881912,10,5,-2.7125,True,False
O=NN=NOC(OC#N)(O)OC(N)(O)N,222.034881912,10,4,-2.30952,True,False
ON=NN=NC(N=C=O)(O)OC(N)(O)O,222.034881912,9,5,-2.2944,True,False
ON=NN=NC(NC#N)(O)OC(O)(O)O,222.034881912,9,6,-2.52592,True,False
N=C(N=NN=NNC(=O)O)OC(O)(O)O,222.034881912,7,6,-1.4720300000000002,True,False
O=NN1C(NC(OC(=N)N=N1)(O)O)(O)O,222.034881912,10,6,-2.91663,True,False
O=NN=NN(C1=NC(N1)(O)O)C(O)(O)O,222.034881912,9,6,-3.5197000000000003,True,False
OC(=O)N1C(OC(N=NN=N1)(O)N)(O)O,222.034881912,10,5,-2.1108,True,False
N=C1OC(NC(N=NON=N1)(O)O)(O)O,222.034881912,11,6,-2.51623,False,False
O=NN=NOC(=O)N1C(OC1(O)N)(O)N,222.034881912,9,4,-2.3716,True,False
NC1=NC(N=NN=NO1)(O)OC(O)(O)O,222.034881912,12,5,-2.7259,True,False
O=NON=NC1=NC(N1)(O)OC(N)(O)O,222.034881912,12,5,-2.8144,True,False
N#CN=NN(N(O)O)C1(O)OC(N1)(O)O,222.034881912,11,6,-3.04862,False,False
NC(O)=NN=NN=NC1(O)OC(O1)(O)O,222.034881912,7,5,-2.1602,True,False
O=C=NN=NN(O)OC1(N)OC(O1)(O)N,222.034881912,10,4,-2.5936999999999997,True,False
O=NN=NN(C(O)=NC(O)=N)C(O)(O)O,222.034881912,6,6,-1.66803,True,False
ON(O)OC(=O)N=NN=C=NC(N)(O)O,222.034881912,10,5,-1.7859000000000003,True,False
NC(=O)ON(O)N=NN=C=NC(O)(O)O,222.034881912,9,5,-2.2678,True,False
O=NN=NNC(=O)N(C(O)=N)C(O)(O)O,222.034881912,7,6,-1.87243,True,False
O=NN=C=NN(O)N(C(=O)O)C(N)(O)O,222.034881912,9,5,-2.1025,True,False
O=NN=NN=C(O)OC(=O)NC(N)(O)O,222.034881912,7,5,-1.7702,True,False
N=NN=NOC(=N)OC(=N)OC(O)(O)O,222.034881912,10,6,-1.19289,True,False
O=NN=NOC(O)=NC(=N)NC(O)(O)O,222.034881912,7,6,-1.92183,True,False
O=NN=NN=C(O)OC(N)=NC(O)(O)O,222.034881912,7,5,-2.1315,True,False
N=NON=NC(=O)NC(=N)OC(O)(O)O,222.034881912,10,6,-1.4346600000000005,True,False
O=NN=C=NC(=O)NN(O)OC(N)(O)O,222.034881912,9,5,-2.3563,True,False
O=NNN=NC(=NC(=O)N)OC(O)(O)O,222.034881912,8,5,-2.3359,True,False
ON=NN=NC(=NC(=O)N)OC(O)(O)O,222.034881912,6,5,-1.7654999999999998,True,False
O=NN=C=NN(N=C(O)N)OC(O)(O)O,222.034881912,9,5,-2.6338,True,False
OC(=O)NC(ON=NN=NC(O)=N)(O)O,222.034881912,6,6,-0.9063299999999999,True,False
NN(O)OC(N=C=NN=NC(=O)O)(O)O,222.034881912,9,5,-1.7020999999999997,True,False
O=NON=NC(O)=NC(OC(O)=N)(O)N,222.034881912,9,5,-0.9627300000000001,True,False
ON=NN=NC(=O)OC(N=C(O)O)(O)N,222.034881912,6,5,-0.6340999999999999,True,False
N=NON=NC(O)=NC(NC(=O)O)(O)O,222.034881912,8,6,-0.9063300000000001,True,False
O=NN=NNC(=O)NC(N=C(O)O)(O)O,222.034881912,6,6,-1.5978999999999997,True,False
N#CN=NOC(O)=NC(ON(O)O)(O)N,222.034881912,11,5,-1.6604199999999998,True,False
N#CON=NC(O)=NC(NN(O)O)(O)O,222.034881912,10,6,-2.05382,True,False
N#CN=NNN(O)OC(OC(=O)O)(O)N,222.034881912,10,5,-1.7810200000000003,True,False
O=NON=NC(N(C(=O)N)C(=O)O)(O)N,222.034881912,9,4,-1.3274,True,False
N#CON=NC(N(C(=O)N)N(O)O)(O)O,222.034881912,10,5,-2.17672,True,False
