SMILES,MW,HBA,HBD,LogP,Valid,Error,Fragments
N#CN=NN=NOC(NC(O)(O)O)(O)O,222.034881912,10,6,-3.00782,True,False,['N#CN=NN=NOC(O)(O)NC(O)(O)O']
O=NN(N=NC(O)(O)O)C(N=C=N)(O)O,222.034881912,11,6,-2.72623,False,False,['N=C=NC(O)(O)N(N=O)N=NC(O)(O)O']
N#CN=NN(C(O)(O)O)C(NN=O)(O)O,222.034881912,10,6,-3.40822,True,False,['N#CN=NN(C(O)(O)O)C(O)(O)NN=O']
N#CNC(N=NN=NOC(O)(O)O)(O)O,222.034881912,10,6,-3.00782,True,False,['N#CNC(O)(O)N=NN=NOC(O)(O)O']
O=NNN=NC(NC(OC#N)(O)O)(O)O,222.034881912,11,6,-3.09632,False,False,['N#COC(O)(O)NC(O)(O)N=NNN=O']
O=NN=C=NC(OC(NN=O)(O)O)(O)N,222.034881912,10,5,-2.7125,True,False,['NC(O)(N=C=NN=O)OC(O)(O)NN=O']
O=NN=NOC(OC#N)(O)OC(N)(O)N,222.034881912,10,4,-2.30952,True,False,['N#COC(O)(ON=NN=O)OC(N)(N)O']
ON=NN=NC(N=C=O)(O)OC(N)(O)O,222.034881912,9,5,-2.2944,True,False,['NC(O)(O)OC(O)(N=C=O)N=NN=NO']
ON=NN=NC(NC#N)(O)OC(O)(O)O,222.034881912,9,6,-2.52592,True,False,['N#CNC(O)(N=NN=NO)OC(O)(O)O']
N=C(N=NN=NNC(=O)O)OC(O)(O)O,222.034881912,7,6,-1.4720300000000002,True,False,['N=C(N=NN=NNC(=O)O)OC(O)(O)O']
O=NN1C(NC(OC(=N)N=N1)(O)O)(O)O,222.034881912,10,6,-2.91663,True,False,['N=C1N=NN(N=O)C(O)(O)NC(O)(O)O1']
O=NN=NN(C1=NC(N1)(O)O)C(O)(O)O,222.034881912,9,6,-3.5197000000000003,True,False,['O=NN=NN(C1=NC(O)(O)N1)C(O)(O)O']
OC(=O)N1C(OC(N=NN=N1)(O)N)(O)O,222.034881912,10,5,-2.1108,True,False,['NC1(O)N=NN=NN(C(=O)O)C(O)(O)O1']
N=C1OC(NC(N=NON=N1)(O)O)(O)O,222.034881912,11,6,-2.51623,False,False,['N=C1N=NON=NC(O)(O)NC(O)(O)O1']
O=NN=NOC(=O)N1C(OC1(O)N)(O)N,222.034881912,9,4,-2.3716,True,False,"['[1*]C([1*])=O', '[3*]ON=NN=O', '[5*]N1C(N)(O)OC1(N)O']"
NC1=NC(N=NN=NO1)(O)OC(O)(O)O,222.034881912,12,5,-2.7259,True,False,"['[13*]C1(O)N=NN=NOC(N)=N1', '[3*]OC(O)(O)O']"
O=NON=NC1=NC(N1)(O)OC(N)(O)O,222.034881912,12,5,-2.8144,True,False,"['[13*]C1(O)N=C(N=NON=O)N1', '[3*]OC(N)(O)O']"
N#CN=NN(N(O)O)C1(O)OC(N1)(O)O,222.034881912,11,6,-3.04862,False,False,['N#CN=NN(N(O)O)C1(O)NC(O)(O)O1']
NC(O)=NN=NN=NC1(O)OC(O1)(O)O,222.034881912,7,5,-2.1602,True,False,['NC(O)=NN=NN=NC1(O)OC(O)(O)O1']
O=C=NN=NN(O)OC1(N)OC(O1)(O)N,222.034881912,10,4,-2.5937,True,False,"['[13*]C1(N)OC(N)(O)O1', '[3*]ON(O)N=NN=C=O']"
O=NN=NN(C(O)=NC(O)=N)C(O)(O)O,222.034881912,6,6,-1.66803,True,False,['N=C(O)N=C(O)N(N=NN=O)C(O)(O)O']
ON(O)OC(=O)N=NN=C=NC(N)(O)O,222.034881912,10,5,-1.7859000000000005,True,False,"['[1*]C(=O)N=NN=C=NC(N)(O)O', '[3*]ON(O)O']"
NC(=O)ON(O)N=NN=C=NC(O)(O)O,222.034881912,9,5,-2.2678,True,False,"['[3*]ON(O)N=NN=C=NC(O)(O)O', '[1*]C(N)=O']"
O=NN=NNC(=O)N(C(O)=N)C(O)(O)O,222.034881912,7,6,-1.87243,True,False,"['[5*]N(C(=N)O)C(O)(O)O', '[1*]C(=O)NN=NN=O']"
O=NN=C=NN(O)N(C(=O)O)C(N)(O)O,222.034881912,9,5,-2.1025,True,False,['NC(O)(O)N(C(=O)O)N(O)N=C=NN=O']
O=NN=NN=C(O)OC(=O)NC(N)(O)O,222.034881912,7,5,-1.7702,True,False,"['[1*]C([1*])=O', '[3*]OC(O)=NN=NN=O', '[5*]NC(N)(O)O']"
N=NN=NOC(=N)OC(=N)OC(O)(O)O,222.034881912,10,6,-1.19289,True,False,['N=NN=NOC(=N)OC(=N)OC(O)(O)O']
O=NN=NOC(O)=NC(=N)NC(O)(O)O,222.034881912,7,6,-1.92183,True,False,['N=C(N=C(O)ON=NN=O)NC(O)(O)O']
O=NN=NN=C(O)OC(N)=NC(O)(O)O,222.034881912,7,5,-2.1315,True,False,['NC(=NC(O)(O)O)OC(O)=NN=NN=O']
N=NON=NC(=O)NC(=N)OC(O)(O)O,222.034881912,10,6,-1.4346600000000005,True,False,"['[1*]C(=O)N=NON=N', '[5*]NC(=N)OC(O)(O)O']"
O=NN=C=NC(=O)NN(O)OC(N)(O)O,222.034881912,9,5,-2.3563,True,False,['NC(O)(O)ON(O)NC(=O)N=C=NN=O']
O=NNN=NC(=NC(=O)N)OC(O)(O)O,222.034881912,8,5,-2.3359,True,False,['NC(=O)N=C(N=NNN=O)OC(O)(O)O']
ON=NN=NC(=NC(=O)N)OC(O)(O)O,222.034881912,6,5,-1.7654999999999998,True,False,['NC(=O)N=C(N=NN=NO)OC(O)(O)O']
O=NN=C=NN(N=C(O)N)OC(O)(O)O,222.034881912,9,5,-2.6338,True,False,['NC(O)=NN(N=C=NN=O)OC(O)(O)O']
OC(=O)NC(ON=NN=NC(O)=N)(O)O,222.034881912,6,6,-0.90633,True,False,"['[1*]C(=O)O', '[5*]NC(O)(O)ON=NN=NC(=N)O']"
NN(O)OC(N=C=NN=NC(=O)O)(O)O,222.034881912,9,5,-1.7020999999999995,True,False,['NN(O)OC(O)(O)N=C=NN=NC(=O)O']
O=NON=NC(O)=NC(OC(O)=N)(O)N,222.034881912,9,5,-0.96273,True,False,['N=C(O)OC(N)(O)N=C(O)N=NON=O']
ON=NN=NC(=O)OC(N=C(O)O)(O)N,222.034881912,6,5,-0.6340999999999999,True,False,"['[3*]OC(N)(O)N=C(O)O', '[1*]C(=O)N=NN=NO']"
